FileName,x1,y1,x2,y2,class
184.png,62,494,1158,1482,table
185.png,168,1774,1226,2864,table
186.png,243,413,3043,2380,table
187.png,260,240,2996,2203,table
188.png,130,10,2060,3260,table
189.png,203,346,2443,2703,table
190.png,240,400,2430,2986,table
191.png,480,833,2026,2800,table
192.png,383,730,2376,1390,table
193.png,220,446,2370,3100,table
194.png,403,360,2170,2833,table
195.png,400,430,3106,1970,table
196.png,250,536,2330,2963,table
197.png,276,496,2273,2633,table
198.png,820,663,2273,1070,table
198.png,270,1700,2273,2676,table
199.png,276,760,2233,2213,table
200.png,690,686,2054,930,table
201.png,246,603,2340,2756,table
202.png,263,603,2250,1173,table
203.png,520,476,1890,2366,table
204.png,902,484,3134,1734,table
205.png,156,444,1272,1556,table
206.png,266,280,2400,2550,table
207.png,276,276,2443,2586,table
208.png,273,540,2286,2986,table
209.png,282,962,1132,1238,table
210.png,220,346,2430,656,table
211.png,393,326,2396,1910,table
212.png,493,303,2263,2710,table
213.png,356,1926,896,2190,table
213.png,918,1924,1460,2168,table
214.png,1258,1055,2355,1594,table
215.png,1391,551,2455,831,table
216.png,282,466,2202,960,table
217.png,250,333,2320,2873,table
218.png,276,443,2263,2756,table
219.png,453,473,3053,1546,table
220.png,486,1854,2314,2698,table
221.png,228,498,1558,1094,table
222.png,322,1292,1652,2912,table
223.png,336,584,2290,1742,table
224.png,46,363,2310,2876,table
225.png,100,356,2356,1006,table
226.png,60,368,2314,1010,table
227.png,344,1098,1221,1602,table
228.png,103,423,1486,2446,table
229.png,360,280,2983,2143,table
230.png,140,843,2356,2653,table
231.png,96,893,2286,2880,table
232.png,383,713,2383,3033,table
233.png,373,720,2316,3036,table
234.png,426,736,2373,3030,table
235.png,300,850,2360,3140,table
236.png,330,730,2343,3063,table
237.png,226,730,2240,3046,table
238.png,200,456,1568,1356,table
239.png,246,450,1334,1926,table
240.png,398,550,2128,1710,table
241.png,541,1241,1275,1878,table
242.png,300,410,2453,3160,table
243.png,1700,186,3142,706,table
244.png,363,503,2403,2066,table
245.png,560,646,2923,1960,table
246.png,312,3074,2330,3232,table
247.png,363,443,3146,1766,table
248.png,250,195,2325,3075,table
249.png,190,466,2863,2100,table
250.png,173,1293,2426,2530,table
251.png,1260,560,2180,900,table
252.png,146,2000,2296,2923,table
253.png,202,2054,2216,2732,table
254.png,233,673,2233,1363,table
254.png,603,2440,1873,3060,table
255.png,193,636,2093,2136,table
256.png,266,233,2960,1336,table
257.png,453,806,2180,2423,table
258.png,106,844,2492,1614,table
259.png,203,260,2390,2786,table
260.png,220,663,2766,1646,table
261.png,100,676,2990,1310,table
262.png,175,335,2345,2985,table
263.png,370,486,3086,2196,table
264.png,253,440,2240,2880,table
265.png,243,460,2220,960,table
266.png,306,400,2263,1560,table
267.png,300,406,2983,1830,table
268.png,86,523,2406,1803,table
269.png,176,390,2216,1120,table
269.png,183,1576,2206,2220,table
270.png,273,390,3000,2110,table
271.png,276,363,2993,2100,table
272.png,310,430,3043,2140,table
273.png,553,490,2680,1840,table
274.png,100,380,2036,2713,table
275.png,955,188,1471,982,table
276.png,198,628,1932,1606,table
277.png,1313,1123,2286,2966,table
278.png,830,1421,1520,2060,table
279.png,1564,1806,2204,3038,table
280.png,752,646,1816,902,table
281.png,156,2090,984,2418,table
282.png,107,1370,1234,1594,table
283.png,88,274,1248,742,table
283.png,1230,1130,2374,1528,table
284.png,216,2608,1068,3030,table
285.png,1187,754,2307,1168,table
285.png,1182,1962,2321,2274,table
286.png,44,812,1124,991,table
286.png,61,1278,1131,1570,table
286.png,64,2712,1140,3154,table
286.png,1154,502,2221,1081,table
287.png,608,620,2314,938,table
287.png,612,1252,2316,1460,table
287.png,604,1536,2322,2214,table
288.png,120,313,2270,2580,table
289.png,200,786,2176,2676,table
290.png,73,530,2346,2490,table
291.png,75,1115,1110,1487,table
292.png,1018,490,2231,861,table
293.png,276,313,2313,2703,table
294.png,196,416,2453,2353,table
295.png,1345,425,2431,1122,table
296.png,146,620,2376,986,table
296.png,113,1160,2366,2076,table
296.png,146,2326,2356,2630,table
297.png,156,542,1258,1072,table
297.png,156,1324,1232,2162,table
297.png,1278,2084,2376,2680,table
298.png,1300,2180,2410,2540,table
299.png,120,1414,1238,1832,table
299.png,1292,336,2410,754,table
300.png,102,534,1226,1130,table
300.png,114,2072,1202,2326,table
300.png,94,2498,1200,2960,table
301.png,88,2068,1178,2496,table
301.png,90,2616,1176,2948,table
301.png,1234,2080,2320,2394,table
301.png,1208,2502,2294,2648,table
302.png,78,1436,1190,2036,table
302.png,90,2312,1184,2920,table
302.png,1232,586,2322,928,table
303.png,1240,470,2336,972,table
303.png,1216,1078,2338,1664,table
304.png,136,1934,1194,2184,table
305.png,53,206,2310,2743,table
306.png,226,706,2420,1450,table
306.png,223,1773,2420,2300,table
307.png,1284,1624,2378,1952,table
307.png,1276,2282,2378,2874,table
308.png,134,242,1620,1398,table
309.png,136,232,1616,1340,table
310.png,142,320,844,574,table
310.png,142,1390,1630,2696,table
311.png,540,368,2002,1606,table
312.png,100,480,2280,3175,table
313.png,220,1650,2256,2122,table
314.png,140,386,1758,2048,table
315.png,34,1126,1082,1532,table
315.png,1208,1494,2284,2176,table
316.png,205,1022,1281,1325,table
316.png,208,2502,1275,2825,table
317.png,636,440,2526,2940,table
318.png,576,1740,2444,2230,table
319.png,450,533,2353,1776,table
319.png,470,1942,2336,2680,table
320.png,494,824,1518,1258,table
321.png,470,152,1471,662,table
321.png,470,764,1471,1298,table
321.png,1487,157,2500,665,table
321.png,1487,765,2507,1311,table
321.png,472,1884,2512,2532,table
322.png,736,618,2420,1896,table
322.png,740,2062,2418,2710,table
323.png,86,456,1090,1348,table
323.png,78,1610,1082,2058,table
323.png,1134,632,2170,1616,table
324.png,40,283,963,2626,table
324.png,1144,522,2220,928,table
325.png,1250,2675,2410,2931,table
326.png,54,1114,1208,1364,table
326.png,48,1860,1240,2716,table
326.png,1226,318,2426,1548,table
327.png,845,2668,2224,3060,table
328.png,124,312,1276,1964,table
328.png,1294,458,2418,702,table
328.png,1288,2374,2424,2724,table
329.png,486,420,2363,2440,table
330.png,500,434,2352,870,table
330.png,502,2712,2346,3002,table
331.png,240,1450,2192,2008,table
331.png,246,2182,2204,2846,table
332.png,276,914,2212,1186,table
332.png,276,2108,2242,2576,table
332.png,312,2698,1834,2958,table
333.png,72,342,2042,1158,table
333.png,108,1372,2052,1620,table
333.png,104,2234,2040,2512,table
334.png,90,470,2394,1682,table
335.png,166,368,2328,1088,table
335.png,148,1100,2340,1788,table
336.png,50,260,2336,2876,table
337.png,563,490,2440,2853,table
338.png,1278,454,2326,1358,table
338.png,1270,1774,2328,2368,table
